source_row,print_name,company_name,type,lot,status,existing_ids,existing_names
2,2 Farmers & a Cow Ice Cream Co.,2 Farmers & a Cow Ice Cream Co.,Commercial,,Proven indoor candidate — representation decision pending for CarePartners,,
3,A&M Truck Parts Ltd,A&M Truck Parts Ltd,Agriculture,,Represented — normalized name or reviewed alias,b9f5cf91-c819-4c09-b66d-c7755e0cf06f,A&M Truck Parts Ltd
4,Accurate Canada,Accurate General Services Inc.,,5A 12,Represented — normalized name or reviewed alias,3be605f9-7bf3-43ea-8021-d4e7f8d97226,"Accurate Canada, Burlington"
5,ACE / JCB,Advance Construction Equipment Limited,,1A 09,Represented — normalized name or reviewed alias,730c5981-0e96-5ad3-a19e-305171940d35,"ACE / JCB, Harriston"
6,Aces Heavy Towing,Aces Heavy Towing,,5A 27-28,Represented — normalized name or reviewed alias,a9af14f1-d5ed-53ee-bf1a-496ce6b51218,"Aces Heavy Towing, Mildmay"
7,Action First Aid,Action First Aid,Commercial,,Proven indoor candidate — representation decision pending for CarePartners,,
8,Agilec Employment Services,Agilec Employment Services,Rural Living 2,,Represented — normalized name or reviewed alias,f55883bc-5358-4211-a3b6-7b53edaba2e6,Agilec Employment Services
9,Agriculture and Agri-Food Canada,Agriculture and Agri-Food Canada,Agriculture,,Represented — normalized name or reviewed alias,3b04e05a-7aff-4552-b267-caf238b690d4,Agriculture and Agri-Food Canada
10,AgScape,AgScape,Education,,Unconfirmed physical grouping,,
11,Alair Homes Huron,Alair Homes Hyrib (2748000 OnInc),Rural Living 1,,Proven indoor candidate — representation decision pending for CarePartners,,
12,All Star Metals Inc.,All Star Metals Inc.,Commercial,,Proven indoor candidate — representation decision pending for CarePartners,,
13,Amabel Books,Amabel Books,Artisan,,Represented — normalized name or reviewed alias,3ae7740c-f1c6-5e2c-b2ec-743f80879a0e,"Amabel Books, Allenford"
14,Aqwa Building Solutions,Aqwa Building Solutions,Rural Living 1,,Proven indoor candidate — representation decision pending for CarePartners,,
15,Armtec,Armtec,Agriculture,,Represented — normalized name or reviewed alias,af16cf06-a3fc-442f-89fb-34b7f7c811aa,Armtec
16,Avenir Energy,Avenir Energy,Rural Expo Courtyard,,Proven indoor candidate — representation decision pending for CarePartners,,
17,B&L Farm Services Ltd.,B & L Farm Services Ltd.,,2B 13-14,Represented — normalized name or reviewed alias,ee1415e6-f744-4630-bc35-6abe2ba92ba5,"B&L Farm Services Ltd., Chesley"
18,Bailey Repair Services Ltd.,Bailey Repair Services Ltd.,,2A 21,Represented — normalized name or reviewed alias,e0a5d033-8f65-404e-bea0-3d29c912046b,"Bailey Repair Services Ltd., Palmerston"
19,Bear Tracks Inn & Restaurant,Bear Tracks Inn & Restaurant,Food,4A 36,Represented — normalized name or reviewed alias,544387d1-37b9-5d43-b747-61f890ea005b,"Bear Tracks Inn & Restaurant, Lion’s Head"
20,Beef Farmers of Ontario & Bruce County Beef Farmers,Bruce County Beef Farmers / Bruce County Beef Farmers,Education,,Represented — normalized name or reviewed alias,33c808d3-5f23-5ac4-ac19-39c5f525d78a | c3475873-86ab-400c-b963-7b79080cfba0,Beef Farmers of Ontario & Bruce County Beef Farmers | Beef Farmers of Ontario & Bruce County Beef Farmers
21,Beef Farmers of Ontario & Bruce County Beef Farmers,Beef Farmers of Ontario / Bruce County Beef Farmers,,2B 08 - 09 - N,Represented — normalized name or reviewed alias,33c808d3-5f23-5ac4-ac19-39c5f525d78a | c3475873-86ab-400c-b963-7b79080cfba0,Beef Farmers of Ontario & Bruce County Beef Farmers | Beef Farmers of Ontario & Bruce County Beef Farmers
22,Bell Mobility (Cell Tower),Bell Mobility (CoW),,North,Represented — normalized name or reviewed alias,d29fbe51-a631-5f55-8fc0-f76b35bf07cd,Bell Cell Tower
23,Ben Lobb Member of Parliament for Huron Bruce,Ben Lobb M.P.,Rural Living 1,,Represented — normalized name or reviewed alias,00cdb72c-1b0d-4a4f-ba56-94afe97592aa,Ben Lobb Member of Parliament for Huron Bruce
24,Bernie McGlynn Lumber / South Bruce Flooring,Bernie McGlynn Lumber Ltd. / South Bruce Flooring,Rural Living 1,,Represented — normalized name or reviewed alias,988bfa58-8601-4351-9a9c-56367bdec339,Bernie McGlynn Lumber / South Bruce Flooring
25,Better Farming | Small Farm Canada,AgMedia Inc,Agriculture,,Proven indoor candidate — representation decision pending for CarePartners,,
26,Big Bites,Big Bites,Food,2A 10,Represented — normalized name or reviewed alias,6ce4387f-b079-5bcc-a1e1-83065b50bdfe,"Big Bites, Durham"
27,Blacks Creek Innovations,Blacks Creek Innovations Inc.,,5A 37-38,Represented — normalized name or reviewed alias,958a4bcd-92f5-51b5-b975-2959863c7aa7,"Blacks Creek Innovations, Prescott"
28,Bluewater District School Board,Bluewater District School Board,Education,,Represented — normalized name or reviewed alias,c0b34681-27da-4ffd-bd87-4ef3bbdd3178,Bluewater District School Board
29,Brandt Tractors Ltd.,Brandt Tractors Ltd.,,1B 05-06,Represented — normalized name or reviewed alias,cdabb1e6-a916-5b2c-9648-c7d9e226139a,"Brandt Tractors Ltd., London"
30,Broeders Farm Equipment,Broeders Farm Equipment,,1B 08,Represented — normalized name or reviewed alias,577b1ad6-5ac8-41c4-a163-04c59c103493,"Broeders Farm Equipment, North Augusta"
31,Bruce County,The Corporation of the County of Bruce,,East 1,Missing directory name with explicit lot — outside indoor-addition scope,,
32,Bruce County Federation of Agriculture,Bruce County Federation of Agriculture,Education,,Represented — normalized name or reviewed alias,01d61f68-207b-43e3-a1a7-4b31ce36c8bf,Bruce County Federation of Agriculture
33,Bruce County Genealogical Society,Bruce County Genealogical Society,Antiques,,Proven indoor candidate — representation decision pending for CarePartners,,
34,Bruce County Historical Society,Bruce County Historical Society,Antiques,,Proven indoor candidate — representation decision pending for CarePartners,,
35,Bruce District Masons,Bruce District Masons,,3B 04,Represented — normalized name or reviewed alias,016396f4-b39b-5f5f-8e87-bd542b53e7de,Bruce District Masons
