Name,Start Date,Event Start,Event End,Category,Days_Active,Description,Location,Lat,Long
Opening Gate Welcome,2026-09-17,8:30 AM,9:00 AM,Ceremony,Thursday,County leaders welcome guests and outline the fair highlights,South Gate Plaza,43.8121,-80.4215
Draft Horse Hitch Parade,2026-09-17,9:00 AM,10:00 AM,Livestock,Thursday,Teams of draft horses circle the ring with decorated wagons,Grandstand Ring,43.8130,-80.4204
Farm Safety for Families,2026-09-17,9:15 AM,10:00 AM,Education,Thursday,Practical safety tips for families visiting or living on farms,Community Pavilion,43.8125,-80.4221
County Apple Pie Judging,2026-09-17,9:30 AM,10:45 AM,Competition,Thursday,Local bakers present apple pies for taste and presentation judging,Harvest Hall,43.8128,-80.4233
Small Engine Tune Up Clinic,2026-09-17,10:00 AM,11:15 AM,Workshop,Thursday,Mechanics demonstrate seasonal maintenance for small farm engines,Workshop Tent,43.8116,-80.4240
Sheep Showmanship Junior Class,2026-09-17,10:15 AM,11:30 AM,Livestock,Thursday,Junior handlers show sheep and receive coaching from judges,Livestock Pavilion,43.8136,-80.4210
Heirloom Tomato Tasting,2026-09-17,10:30 AM,11:15 AM,Food,Thursday,Visitors sample regional tomato varieties and learn growing tips,Garden Pavilion,43.8119,-80.4228
Maple Syrup Grading Demo,2026-09-17,11:00 AM,11:45 AM,Education,Thursday,Producers explain syrup colour grades and judging standards,Heritage Barn,43.8133,-80.4238
Tractor Skills Challenge,2026-09-17,11:30 AM,12:30 PM,Competition,Thursday,Operators navigate precision obstacles with compact tractors,Machinery Field,43.8142,-80.4245
Harvest Lunch Music Set,2026-09-17,12:00 PM,1:00 PM,Entertainment,Thursday,Acoustic roots trio performs during the lunch period,Main Stage,43.8123,-80.4207
Beef Breed Showcase,2026-09-17,12:30 PM,1:30 PM,Livestock,Thursday,Breed associations present cattle lines and judging points,4-H Show Ring,43.8139,-80.4218
Preserving Peaches Workshop,2026-09-17,1:00 PM,2:00 PM,Food,Thursday,Step by step home canning guidance using Ontario peaches,Demo Kitchen,43.8126,-80.4230
Soil Health Field Walk,2026-09-17,1:30 PM,2:30 PM,Education,Thursday,Agronomists review cover crops compaction and soil structure,North Field Lane,43.8148,-80.4236
Youth Talent Showcase,2026-09-17,2:00 PM,3:15 PM,Entertainment,Thursday,Young performers from county schools take the main stage,Main Stage,43.8123,-80.4207
Antique Tractor Pull,2026-09-17,3:00 PM,4:30 PM,Competition,Thursday,Restored tractors compete in weight classes on the pull track,Grandstand Track,43.8131,-80.4202
Evening Dairy Barn Tour,2026-09-17,5:00 PM,6:00 PM,Livestock,Thursday,Farm families guide visitors through dairy care routines,Livestock Pavilion,43.8136,-80.4210
Sunset Square Dance,2026-09-17,6:30 PM,8:00 PM,Entertainment,Thursday,Caller led square dancing for all ages with live fiddle music,Main Stage,43.8123,-80.4207
Pancake Breakfast with Producers,2026-09-18,8:00 AM,9:15 AM,Food,Friday,Local producers serve breakfast and discuss farm life,Community Pavilion,43.8125,-80.4221
Junior Poultry Judging,2026-09-18,9:00 AM,10:00 AM,Livestock,Friday,Youth exhibitors present poultry entries to certified judges,Livestock Pavilion,43.8136,-80.4210
Field Crop Innovation Talk,2026-09-18,9:15 AM,10:00 AM,Education,Friday,Specialists review new approaches to crop rotation and inputs,Workshop Tent,43.8116,-80.4240
Bee Friendly Garden Demo,2026-09-18,9:45 AM,10:45 AM,Workshop,Friday,Master gardeners demonstrate pollinator habitat planning,Garden Pavilion,43.8119,-80.4228
