Exhibitor,Sharon Category,Suggested Tent / Location,Evidence,CONFIRMED LOCATION,CORRECT LOCATION / NOTES
AgScape,Education,LIKELY EDUCATION AREA — UNCONFIRMED,Sept 17 Type = Education; no lot. Category is proven; specific tent/area is NOT proven. Confirm containing area and lot.,,
Canadian Agricultural Safety Association (CASA),Education,LIKELY EDUCATION AREA — UNCONFIRMED,Sept 17 Type = Education; no lot. Category is proven; specific tent/area is NOT proven. Confirm containing area and lot.,,
Canadian Union of Skilled Workers,Nuclear,LIKELY BRUCE POWER / NUCLEAR AREA — UNCONFIRMED,"Sept 17 Type = Nuclear; no lot. Bruce Power association is a hypothesis, not a proven location. Confirm containing area and lot.",,
"Candu Energy Inc, an AtkinsRéalis company",Nuclear,LIKELY BRUCE POWER / NUCLEAR AREA — UNCONFIRMED,"Sept 17 Type = Nuclear; no lot. Bruce Power association is a hypothesis, not a proven location. Confirm containing area and lot.",,
DGFO - Dairy Goat Farmers of Ontario,Education,LIKELY EDUCATION AREA — UNCONFIRMED,Sept 17 Type = Education; no lot. Category is proven; specific tent/area is NOT proven. Confirm containing area and lot.,,
FIRST Robotics Canada,Education,LIKELY EDUCATION AREA — UNCONFIRMED,Sept 17 Type = Education; no lot. Category is proven; specific tent/area is NOT proven. Confirm containing area and lot.,,
Grain Farmers of Ontario,Education,LIKELY EDUCATION AREA — UNCONFIRMED,"Sept 17 Type = Education; no lot. Category is proven; specific tent/area is NOT proven. Confirm containing area and lot. Existing Grain Farmers stage and VIP tent are separate site features, not proof of the Education exhibit location.",,
Gregglea Clydesdales,Education,LIKELY EDUCATION AREA — UNCONFIRMED,Sept 17 Type = Education; no lot. Category is proven; specific tent/area is NOT proven. Confirm containing area and lot.,,
Grey Bruce Pork Producers,Education,LIKELY EDUCATION AREA — UNCONFIRMED,Sept 17 Type = Education; no lot. Category is proven; specific tent/area is NOT proven. Confirm containing area and lot.,,
Kinectrics Inc.,Nuclear,LIKELY BRUCE POWER / NUCLEAR AREA — UNCONFIRMED,"Sept 17 Type = Nuclear; no lot. Bruce Power association is a hypothesis, not a proven location. Confirm containing area and lot.",,
LiUNA Local 1059,Nuclear,LIKELY BRUCE POWER / NUCLEAR AREA — UNCONFIRMED,"Sept 17 Type = Nuclear; no lot. Bruce Power association is a hypothesis, not a proven location. Confirm containing area and lot.",,
Norfolk Drone Services,Outdoor,UNKNOWN CURRENT LOCATION — NEEDS CONFIRMATION,Sept 17 lists 1B 07; later approved B Town Farm Supply occupies 1B 07. Confirm Norfolk current presence and replacement location; do not move B Town.,,
Northern Fabrication,Outdoor,UNKNOWN CURRENT LOCATION — NEEDS CONFIRMATION,Sept 17 lists 4A 14 for Northern Fabrication and Hip Town Hype; current app has Hip Town Hype there. Confirm shared occupancy or corrected location.,,
Ontario Association of Agriculture Societies,Education,LIKELY EDUCATION AREA — UNCONFIRMED,Sept 17 Type = Education; no lot. Category is proven; specific tent/area is NOT proven. Confirm containing area and lot.,,
Ontario Power Generation (OPG),Nuclear,LIKELY BRUCE POWER / NUCLEAR AREA — UNCONFIRMED,"Sept 17 Type = Nuclear; no lot. Bruce Power association is a hypothesis, not a proven location. Confirm containing area and lot.",,
Ontario Sheep Farmers,Education,LIKELY EDUCATION AREA — UNCONFIRMED,Sept 17 Type = Education; no lot. Category is proven; specific tent/area is NOT proven. Confirm containing area and lot.,,
Society of United Professionals,Nuclear,LIKELY BRUCE POWER / NUCLEAR AREA — UNCONFIRMED,"Sept 17 Type = Nuclear; no lot. Bruce Power association is a hypothesis, not a proven location. Confirm containing area and lot.",,
UBC Local 2222,Nuclear,LIKELY BRUCE POWER / NUCLEAR AREA — UNCONFIRMED,"Sept 17 Type = Nuclear; no lot. Bruce Power association is a hypothesis, not a proven location. Confirm containing area and lot.",,
Fruitage of the Field,Outdoor,4B 24 — SHARED OCCUPANCY UNCONFIRMED,"Sept 17 assigns both Fruitage of the Field and Old Country Leather to 4B 24; app has Old Country Leather. Lot is explicit, but legitimate sharing versus conflict needs confirmation before a separate addition.",,
