Name,Type,Location,Hours of Operation,Days of Operation,priority,Description
Maple Ridge Mini Donuts,Food,Food Court F-01,9:00 AM - 9:00 PM,Thursday - Sunday,1,Fresh mini donuts tossed in cinnamon sugar and maple glaze
Harvest Smokehouse BBQ,Food,Food Court F-02,11:00 AM - 9:00 PM,Thursday - Sunday,2,Slow smoked brisket pulled pork and fair style sides
County Creamery Ice Cream,Food,Food Court F-03,10:00 AM - 9:00 PM,Thursday - Sunday,3,Small batch ice cream made with local dairy
Golden Kernel Kettle Corn,Food,Food Court F-04,9:00 AM - 8:00 PM,Thursday - Sunday,4,Sweet and salty kettle corn popped on site
Orchard Lane Cider,Food,Food Court F-05,10:00 AM - 8:00 PM,Thursday - Sunday,5,Cold apple cider sparkling cider and seasonal slush
The Grilled Cheese Wagon,Food,Food Court F-06,11:00 AM - 8:00 PM,Thursday - Sunday,6,Melty grilled cheese sandwiches with local cheeses
Sunrise Coffee Cart,Food,Food Court F-07,8:00 AM - 6:00 PM,Thursday - Sunday,7,Espresso drip coffee tea and breakfast pastries
Blue Ribbon Lemonade,Food,Food Court F-08,9:00 AM - 9:00 PM,Thursday - Sunday,8,Hand shaken lemonade in classic and fruit flavours
Prairie Pierogi House,Food,Food Court F-09,11:00 AM - 8:00 PM,Friday - Sunday,9,Potato cheese and seasonal pierogi plates
Iron Skillet Poutine,Food,Food Court F-10,11:00 AM - 9:00 PM,Thursday - Sunday,10,Fresh cut fries cheese curds gravy and loaded toppings
Heritage Bakery Co,Food,Market Lane M-01,9:00 AM - 6:00 PM,Thursday - Sunday,11,Breads pies butter tarts and seasonal baked goods
Hilltop Honey Farm,Food,Market Lane M-02,9:00 AM - 6:00 PM,Thursday - Sunday,12,Raw honey beeswax candles and pollinator education
Red Barn Preserves,Food,Market Lane M-03,9:00 AM - 6:00 PM,Thursday - Sunday,13,Jams pickles relishes and pantry preserves
Silver Creek Cheese,Food,Market Lane M-04,10:00 AM - 6:00 PM,Thursday - Sunday,14,Artisan cheddar curds and specialty cheese boxes
County Line Meats,Food,Market Lane M-05,10:00 AM - 6:00 PM,Thursday - Sunday,15,Frozen local meats sausages and family barbecue packs
Willow Bend Produce,Food,Market Lane M-06,9:00 AM - 6:00 PM,Thursday - Sunday,16,Seasonal vegetables fruit baskets and recipe cards
Cloverleaf Microgreens,Food,Market Lane M-07,9:00 AM - 5:00 PM,Friday - Sunday,17,Fresh microgreens salad mixes and growing kits
Oak Barrel Syrups,Food,Market Lane M-08,9:00 AM - 6:00 PM,Thursday - Sunday,18,Maple syrup maple sugar and breakfast gift sets
Meadowbrook Mushrooms,Food,Market Lane M-09,10:00 AM - 5:00 PM,Friday - Sunday,19,Cultivated mushrooms grow blocks and cooking guidance
Stone Mill Flour,Food,Market Lane M-10,9:00 AM - 5:00 PM,Thursday - Saturday,20,Stone ground flours grains and baking mixes
Fern Hollow Soapworks,Artisan,Artisan Barn A-01,9:00 AM - 7:00 PM,Thursday - Sunday,21,Handmade soaps balms and farm inspired bath products
Thread and Thistle Textiles,Artisan,Artisan Barn A-02,9:00 AM - 7:00 PM,Thursday - Sunday,22,Quilts tea towels and embroidered home goods
North Star Leathercraft,Artisan,Artisan Barn A-03,10:00 AM - 6:00 PM,Thursday - Sunday,23,Hand stitched belts wallets and leather accessories
Elmwood Pottery Studio,Artisan,Artisan Barn A-04,9:00 AM - 6:00 PM,Thursday - Sunday,24,Functional pottery mugs bowls and serving pieces
Rustic Rail Woodworks,Artisan,Artisan Barn A-05,9:00 AM - 6:00 PM,Thursday - Sunday,25,Charcuterie boards signs and hardwood decor
Golden Hour Candles,Artisan,Artisan Barn A-06,10:00 AM - 7:00 PM,Thursday - Sunday,26,Soy candles wax melts and seasonal scents
The Wool Shed,Artisan,Artisan Barn A-07,9:00 AM - 6:00 PM,Thursday - Sunday,27,Yarn felted goods and sheep wool demonstrations
Riverbend Stained Glass,Artisan,Artisan Barn A-08,10:00 AM - 6:00 PM,Friday - Sunday,28,Stained glass ornaments panels and sun catchers
Prairie Paper Co,Artisan,Artisan Barn A-09,9:00 AM - 5:00 PM,Thursday - Saturday,29,Cards prints notebooks and local illustration
Forge and Field Metalworks,Artisan,Artisan Barn A-10,10:00 AM - 6:00 PM,Thursday - Sunday,30,Decorative metal hooks garden stakes and forged gifts
Green Acres Equipment,Equipment,Outdoor Equipment O-01,8:30 AM - 6:00 PM,Thursday - Sunday,31,Compact tractors implements and financing information
Harvest Tech Drones,Technology,Outdoor Equipment O-02,9:00 AM - 6:00 PM,Thursday - Sunday,32,Agricultural drones mapping tools and operator demos
Miller Irrigation Supply,Equipment,Outdoor Equipment O-03,9:00 AM - 5:00 PM,Thursday - Saturday,33,Irrigation pumps fittings and field water planning
Stonebridge Seed Co,Agriculture,Ag Expo Hall E-01,9:00 AM - 6:00 PM,Thursday - Sunday,34,Seed corn soybeans forage blends and agronomy advice
Blue River Agronomy,Agriculture,Ag Expo Hall E-02,9:00 AM - 6:00 PM,Thursday - Sunday,35,Crop consulting soil sampling and field scouting services
County Co-op Services,Agriculture,Ag Expo Hall E-03,9:00 AM - 6:00 PM,Thursday - Sunday,36,Farm supply membership fuel programs and seasonal inputs
North Field Insurance,Services,Ag Expo Hall E-04,9:00 AM - 5:00 PM,Thursday - Sunday,37,Farm home vehicle and business insurance consultations
Farmstead Financial,Services,Ag Expo Hall E-05,9:00 AM - 5:00 PM,Thursday - Saturday,38,Agricultural lending succession planning and account services
Clearview Veterinary Clinic,Services,Ag Expo Hall E-06,9:00 AM - 5:00 PM,Thursday - Sunday,39,Large animal health resources and appointment information
Rural Broadband Connect,Technology,Ag Expo Hall E-07,10:00 AM - 6:00 PM,Thursday - Sunday,40,Internet options for farms homes and rural businesses
Solar Barn Energy,Services,Ag Expo Hall E-08,9:00 AM - 5:00 PM,Friday - Sunday,41,Solar installations battery backup and energy assessments
WellSpring Water Testing,Services,Ag Expo Hall E-09,9:00 AM - 5:00 PM,Thursday - Sunday,42,Private well testing kits filtration and education
Fieldstone Fencing,Equipment,Outdoor Equipment O-04,9:00 AM - 6:00 PM,Thursday - Sunday,43,Farm fencing gates posts and installation estimates
Iron Gate Trailers,Equipment,Outdoor Equipment O-05,9:00 AM - 6:00 PM,Thursday - Sunday,44,Utility livestock and equipment trailers on display
Oak Valley Sawmill,Equipment,Outdoor Equipment O-06,9:00 AM - 5:00 PM,Thursday - Saturday,45,Portable sawmill services lumber and live edge slabs
Hearthside Outdoor Living,Home,Outdoor Equipment O-07,10:00 AM - 7:00 PM,Thursday - Sunday,46,Patio furniture fire tables and outdoor kitchen displays
County 4-H Association,Community,Community Row C-01,9:00 AM - 6:00 PM,Thursday - Sunday,47,Youth club information projects and volunteer opportunities
Farmers Helping Farmers,Community,Community Row C-02,9:00 AM - 5:00 PM,Thursday - Sunday,48,Charity programs supporting farm families in need
Harvest County Library,Community,Community Row C-03,10:00 AM - 5:00 PM,Thursday - Sunday,49,Library cards reading programs and local history resources
Rural Fire Prevention,Community,Community Row C-04,9:00 AM - 6:00 PM,Thursday - Sunday,50,Fire safety education smoke alarm guidance and displays
County Tourism Booth,Community,Community Row C-05,9:00 AM - 6:00 PM,Thursday - Sunday,51,Regional maps weekend itineraries and visitor information
Agricultural Museum Friends,Community,Community Row C-06,9:00 AM - 5:00 PM,Thursday - Sunday,52,Heritage displays memberships and restoration projects
Junior Farmers Council,Community,Community Row C-07,10:00 AM - 6:00 PM,Friday - Sunday,53,Young adult agriculture programs events and networking
Local Food Bank Drive,Community,Community Row C-08,9:00 AM - 6:00 PM,Thursday - Sunday,54,Donation drop off and information about food support programs
County Conservation Authority,Community,Community Row C-09,9:00 AM - 5:00 PM,Thursday - Sunday,55,Watershed stewardship tree planting and conservation resources
Rural Health Outreach,Community,Community Row C-10,10:00 AM - 5:00 PM,Thursday - Sunday,56,Health screening information and rural care navigation
Little Sprouts Play Kits,Kids,Midway Kiosk K-01,10:00 AM - 8:00 PM,Thursday - Sunday,57,Farm themed toys puzzles and activity kits for children
Face Paint Farmyard,Kids,Midway Kiosk K-02,10:00 AM - 7:00 PM,Friday - Sunday,58,Face painting glitter art and child friendly designs
Balloon Barn Creations,Kids,Midway Kiosk K-03,11:00 AM - 7:00 PM,Saturday - Sunday,59,Balloon animals hats and fair themed creations
